Set Number, Card Name
1, Codex of True Names
2, Creeping Oblivion
3, Dance of Doom
4, Gabos Longarms
5, Greater Oxtet
6, Infernal Terran
7, Lesser Oxtet
8, Maleficorn
9, Neffru
10, Ritual of Tognath
11, Sacrificial Altar
12, Shadow of Dis
13, Soul Snatcher
14, The Pale Star
15, Turnkey
16, Angwish
17, Beyond All Darkness
18, Bloodshard Imp
19, Break-key
20, Essence Scale
21, Flame-Wreathed
22, Hysteria
23, Obsidian Forge
24, Skullion
25, The Amasser
26, The Forsaken
27, Three Fates
28, Arise!
29, Bonesaw
30, Etaromme
31, Gate Warden
32, Gateway to Dis
33, Havoc
34, Levy of Souls
35, Mark of Dis
36, Sinder
37, Streke
38, The Evil Eye
39, Unbinding
40, Catena Fiend
41, Facet
42, Snare
43, Thrall
44, A Strong Feeling
45, Animating Force
46, Call of Need
47, Curse of Forgetfulness
48, Dark Memento
49, Empathic Malice
50, Future is Past
51, Junkyard Cemetery
52, Miss Chievous
53, Protective Playmate
54, Replicative Growth
55, Shadys
56, Suzerain
57, Varad the Indulgent
58, Boiler
59, Dimo, Elderghast
60, Echofly
61, Energy Vampirism
62, Inevitable Decay
63, Recycler
64, Return to Rubble
65, Soul Vial
66, Spinnertech
67, Spontaneous Awakening
68, Thoughtcatcher
69, Tribute Collector
70, Administrator Rivet
71, Bump in the Night
72, Darklamp
73, Hallowed Eve Festival
74, Haunting Deck
75, In Here Somewhere…
76, Looping Dirge
77, Memette
78, Sidekick
79, Snippy
80, Webstur
81, Ælbia Stray
82, Purse-a-phone
83, Mender
84, Soultender
85, Minion
86, Phantasm
87, Wrecker
88, Æmberologist
89, Auto-Vac 5150
90, Backup Plan
91, Beta-Forge
92, Dysania
93, Hyde
94, Knowledge is Power
95, Library Card
96, Master the Theory
97, Mind Over Matter
98, Nautilus
99, Neutron Shark
100, Replicator
101, Strange Gizmo
102, The Howling Pit
103, Universal Keylock
104, Backup Copy
105, Bouncing Deathquark
106, Code Monkey
107, Cognitive Assumptions
108, Dr. Westing
109, Groupthink Tank
110, Memory Chip
111, Novu Dynamo
112, Positron Bolt
113, Prof. Garwynne
114, Rocket Boots
115, Titan Outpost
116, Archimedes
117, Auto-Autopsy 2.1
118, EDAI “Edie” 4x4
119, Effervescent Principle
120, Golis Artificer
121, Hypothesize
122, Practical Methods
123, Standardized Testing
124, Titan Engineer
125, Titan Guardian
126, Titan Librarian
127, Wild Wormhole
128, Holo-Camo
129, Reallocation Accessory
130, Void Shields
131, Velum
132, Alpha-Gamma
133, Chronicler
134, Savant
135, Spydrone
136, Armageddon Cloak (Redemption)
137, Avenging Aura (Redemption)
138, Book of Malefaction (Redemption)
139, Eye of Judgment (Redemption)
140, Hymn to Duma (Redemption)
141, Johnny Longfingers (Redemption)
142, Lord Golgotha (Redemption)
143, Mantle of the Zealot (Redemption)
144, Martyr’s End (Redemption)
145, Master of the Grey (Redemption)
146, Mighty Lance (Redemption)
147, One Stood Against Many (Redemption)
148, Rogue Ogre (Redemption)
149, The Promised Blade (Redemption)
150, Vault of Redemption
151, Champion Tabris (Redemption)
152, Dark Centurion (Redemption)
153, First or Last (Redemption)
154, Francus (Redemption)
155, Glorious Few (Redemption)
156, Gorm of Omm (Redemption)
157, Grey Abbess (Redemption)
158, Professor Terato (Redemption)
159, Redeemer Amara
160, Sacred Duty
161, Scrivener Favian (Redemption)
162, Vindication Outpost
163, Admirable Neophyte
164, Bordan the Redeemed (Redemption)
165, Bull-wark (Redemption)
166, Burning Glare (Redemption)
167, Citizen Shrix (Redemption)
168, Intrepid Exemplar
169, Retribution (Redemption)
170, Shifting Battlefield (Redemption)
171, Snarette (Redemption)
172, Steadfast Commitment
173, Subtle Otto (Redemption)
174, Swift Induction
175, Even Ivan (Redemption)
176, Odd Clawde (Redemption)
177, Sacro-Alien (Redemption)
178, Sacro-Beast (Redemption)
179, Sacro-Bot (Redemption)
180, Sacro-Fiend (Redemption)
181, Sacro-Saurus (Redemption)
182, Sacro-Thief (Redemption)
183, Zealot
184, Guardian
185, Paragon
186, Sentinel
187, Routine Job
188, Bulleteye
189, Early Birds
190, Easy Marks
191, Longfused Mines
192, Mack the Knife
193, Masterplan
194, Rigged Lottery
195, Ring of Invisibility
196, Scowly Caper
197, Selwyn the Fence
198, Sneklifter
199, The Long Con
200, Treasure Map
201, Weasand
202, Big Sal
203, Booby Trap
204, Brend the Fanatic
205, Hidden Stash
206, Kymoor Outpost
207, Lucky Dice
208, Murkens
209, Old Bruno
210, Rich Score
211, Safe House
212, Subtle Chain
213, Whisper
214, Cover Operation
215, Dodger
216, Gamgee
217, Hit and Run
218, Hock
219, Kerwollop
220, Lamindra
221, Life for a Life
222, Lurking Hob
223, Shoulder Id
224, Slipshot
225, Sneaky Feats
226, Stooge
227, Cleaner
228, Prowler
229, Yardbird
230, Aero O’Fore
231, Balaenora
232, Black Tempest
233, Cloudburst Command
