Set Number, Card Name
001, Belcher
002, Brothers in Battle
003, Cybergiant Rig
004, Eruption
005, Final Refrain
006, Fling
007, Grat Tattuu
008, Improvised Aviation
009, Kelifi Dragon
010, Lava Ball
011, Looter Goblin
012, Mugwump
013, On the Mark
014, Pile of Skulls
015, Returning Champion
016, Broken Axe Outpost
017, Brunx and Bongle
018, Burn the Stockpile
019, Clap of Thunder
020, Crunch
021, Gravelguts
022, Grenade Snib
023, Nagoo Yani
024, Narplet
025, Overrun
026, Smith
027, Strength Within
028, Berserker Slam
029, Bosch the Unyielding
030, Cacophonous Riot
031, Cirrus Mace
032, D.B. Gobber
033, Dreadstarr the Lone
034, Fancy Donavon
035, Incensed
036, Raince Furyheart
037, Raise Your Glass
038, Rowdy Skald
039, Terrance Surefoot
040, Armored Spikes
041, Bigger Guns for Everyone
042, Shard of Strength
043, Dance of Doom
044, Delta P
045, Demonic Shelf
046, Fiendish Apprentice
047, Guilty Hearts
048, Infernal Terran
049, Lord Invidius
050, Maleficorn
051, Neffru
052, Phantasmaquid
053, Ritual of Tognath
054, Shadow of Dis
055, Soul Snatcher
056, Talon of Invidius
057, Cauterize Vitality
058, Chauncey
059, Daat
060, Double Doom
061, Drumble
062, Ecstacy Siphon
063, Library of the Damned
064, Poltergeist
065, Snudge
066, Soulkeeper
067, They Tell No Tales
068, Trihard
069, A Gift of Æmber
070, Arise!
071, Clipped Wings
072, Dust Imp
073, Infinity Strop
074, Mindfire
075, Monsquito
076, Searine
077, Slayer
078, Suspendamander
079, Vapor Imp
080, Ven Omawk
081, Pendra’s Box
082, Tomb of Agony
083, Dexus
084, Sinestra
085, Shard of Pain
086, Azuretooth
087, Barter and Games
088, Corner the Market
089, Cursed Relic
090, Elenya the Charming
091, Game Changer
092, Grisly Exchange
093, Insurance Policy
094, Skreel Swarm
095, Skŏllĕnbŭzzz
096, Soul Exchange
097, Talent Scout
098, Three Sheets to the Wind
099, Transitory Philosopher
100, Æmberwind
101, Change Agent
102, Cogg Miller
103, Fortune Reverser
104, High Street Churn
105, Moon Light Special
106, Niche Market
107, Outnegotiate
108, Reap the Wild Wind
109, Sandwyrm
110, Scrapscrounger
111, Shĭzyokŭ Swopper
112, Trade Secrets
113, Ace Jonavan
114, Aerial Pedlar
115, Contract Execution
116, De-escalation
117, Distributor Janŏŏnt
118, Gemcoat Vendor
119, Hoist Operations
120, Security Detail
121, Skipper Hukŏ
122, Transparency Report
123, Vendor Hyertula
124, Vĕsted Harŏld
125, Requisition Writ
126, Suggestion Box
127, Shard of Change
128, A Strong Feeling
129, Animating Force
130, Aurascope
131, Call of Need
132, Empathic Malice
133, Future is Past
134, Ghoul-keeping
135, Helichopper
136, Jahneerie
137, Kaspara
138, P.K.E. Syphonator
139, Shadys
140, Shell of a Ghost
141, Varad the Indulgent
142, A Ghost in the Sun
143, Atomic Destabilizer
144, Crepuscular Rays
145, Doppelganger
146, Echofly
147, Energy Vampirism
148, Paradrone
149, Return to Rubble
150, Thoughtcatcher
151, Titan Apparition
152, Tribute Collector
153, Veil of Ectoplasm
154, All Hands on Deck
155, Colonel Slime
156, Harvest Skimmer
157, Haunting Deck
158, In Here Somewhere…
159, Junk Restoration
160, Manifestation
161, Parabyte
162, Portal Guardian
163, Stratowise
164, Summoned Counsel
165, Wellstring
166, Banshee Suit
167, Ethereal Adaptor
168, Precocious Fragment
169, Purse-a-phone
170, Mender
171, Soultender
172, Shard of Resurgence
173, Arcenomometer
174, Backup Plan
175, Captain Nemo
176, Empyrean Charge
177, Entropic Swirl
178, Harland Mindlock
179, Mind Over Matter
180, Minerva’s Wings
181, Nautilus
182, Neutron Shark
183, Strange Gizmo
184, Timetraveller
185, Transposition Sandals
186, Vespilon Theorist
187, Weigh the Anchor
188, C.Æ.N.D.L.E. Unit
189, Cmd. Prompt
190, Code Monkey
191, De-Animator
192, De-Doss
193, Eureka!
194, Quantum Compass
195, Quantum Fingertrap
196, Remote Access
197, Rm-Foler
198, Root Access
199, Sloppy Labwork
200, Articulated Ren
201, Brillix Ponder
202, Connectome Transfer
203, Daughter
204, Effervescent Principle
205, Ezra Paws
206, Hologrammophone
207, Information Exchange
208, Placeholder
209, Quantum Mouse
210, Skippy the Glorious
211, Wurm Tunnel
212, Holo-Camo
213, Reallocation Accessory
214, Void Shields
215, Help from Future Self
216, Titan Sentry
217, Shard of Knowledge
218, Aberrant Warp Event
219, Bartos the Ruiner
220, Brain Stem Antenna
221, Deimos Burst
222, Eldest Batchminder
223, Elite Disruptzord
224, Entropic Manipulator
225, Ilxid Avenger
226, Nice to Greet You
227, Saucer 149
228, Swap Widget
229, Tangrant
230, The Body Snatchers
231, Total Recall
232, Yxlyx Stimrager
233, Blypyp
234, Crystal Hive
235, Destroy Them All!
236, Envyx Glider
237, Iyxrenu the Clever
238, Kyypax Encapsulator
239, Phloxem Spike
240, Phosphorus Blast
241, Shark Bait
242, Wind Shield
243, Xyp the Implanter
244, Zizok
245, Braindart
246, Cobalt Kapulet
247, Crimson Dax
248, Donor Vox
249, Dr. Xyloxxzlphrex
250, Harmonic Pack
251, Intentional Discharge
252, Kaboom!
253, Number 612
254, Synwyx the Bold
255, Watney’s Calculation
256, Yandylinx
257, Gamma Blaster
258, Stealth Modifications
259, Shard of Hate
260, Aero O’Fore
261, Black Tempest
262, Cloudburst Command
263, Flip Stallard
264, Han Peregrine
265, Ley, Earl of Hurl
266, Maqui Expedition
267, Nantucket
268, Nomadic Insight
269, Razor’s Gambit
270, Recreational Jettison
271, Refined Adhesive
272, Treasure Island
273, Universal Welcome
274, Viscount of Aerys
275, Æmber Airhart
276, Edge of the World
277, Freedom to Be
278, Navigator Ketarr
279, Pirate Champion
280, Red Skies
281, Redline Rotation
282, Rose of Sharon
283, Shae “Cloudkicker”
284, Silver Linings
285, The Red Baron
286, Third of Cliff
287, Transmuting Lift
288, Against All Flags
289, Bomb-arang
290, Bosun Creen
291, Bux Bastian
292, Chandler Anouk
293, Indigo Halyard
294, Prop Dusting
295, Raiding Party
296, Safe Port
297, Scalawag Finn
298, Seeker Missiles
299, Skulking Saboteurs
300, Efficient Æmber Burner
301, Flint’s Legend
302, Flint’s Map
303, Flint’s Stash
304, Lateral Thrusters
305, Torpefying Harpoon
306, Shard of Courage
S01, Akugyo
S02, Alien Puffer
S03, Anvil Crawler
S04, Beehemoth
S05, Blue Æmberdrake
S06, Colossipede
S07, Falcron
S08, Grinder Swarm
S09, Grizzled Wyvern
