Set Number, Card Name
001, A Fair Game
002, Annihilation Ritual
003, Coup de Grâce
004, Creeping Oblivion
005, Cryptic Collapse
006, Delta P
007, Eater of the Dead
008, Embellish Imp
009, Infernal Terran
010, Ortannu the Chained
011, Red-Hot Armor
012, Remmy’s Horror
013, Snaglet
014, Solo
015, Soul Lock
016, Truebaru
017, Atrocity
018, Bloodshard Imp
019, Double Doom
020, Grave Bounty
021, Ifraneye
022, Lifeward
023, Oh, You Shouldn’t Have!
024, Poised Strike
025, Poltergeist
026, Relativity Imp
027, Shaffles
028, They Tell No Tales
029, Trihard
030, A Gift of Æmber
031, Banish
032, Carrion Wyrm
033, Chasm Vespid
034, Dark Minion
035, Eddy of Dis
036, Hamstrung
037, Infinity Strop
038, Infurnace
039, Parasitic Arachnoid
040, Pied Viper
041, Skorpeon
042, Strug
043, Traumatic Echo
044, Bronze Key Imp
045, Gold Key Imp
046, Silver Key Imp
047, Ortannu’s Binding
048, Captain Nemo
049, Cyber-Clone
050, Designer Crick
051, Empyrean Charge
052, Exotic Pivot
053, Instant Transmission
054, Mercurial Wormhole
055, Professor Scruples
056, Project Z.Y.X.
057, Psychic Bug
058, Random Access Archives
059, Reverse Time
060, Skippy Timehog
061, Stenter’s Formula
062, Weigh the Anchor
063, (REDACTED)
064, Archon’s Callback
065, Bit Byte
066, C.Æ.N.D.L.E. Unit
067, Code Monkey
068, Director of Z.Y.X.
069, Duck, Duck, Superb Duck
070, Forgive or Forget
071, Interdimensional Graft
072, Rage Reset
073, Unity Prism
074, Unstable Dale
075, Zeff “Punch” Yardus
076, 4CR “Foreseer”
077, Captain Cha
078, Cutthroat Research
079, Digitallia
080, Emeritus Darn
081, Hazard Zerp
082, Neotechnic Gopher
083, Parallel Thinking
084, Reassembly Required
085, Reiteration
086, Wild Wormhole
087, Wormhole Technician
088, Z.Y.X. Researcher
089, Titan Sentry
090, Avenging Aura (Redemption)
091, Azrael (Redemption)
092, Corrode (Redemption)
093, Corrosive Monk (Redemption)
094, Doomsayer (Redemption)
095, Heavy Adornment (Redemption)
096, Heed the Horde (Redemption)
097, Lord Golgotha (Redemption)
098, Namel’s Confession (Redemption)
099, One Stood Against Many (Redemption)
100, Purifier of Souls (Redemption)
101, Stampede (Redemption)
102, Tome of Abatement (Redemption)
103, Tormented Badge (Redemption)
104, Vault of Redemption (Redemption)
105, Agamignus (Redemption)
106, Dark Centurion (Redemption)
107, Follow the Leader (Redemption)
108, Indignant Tone (Redemption)
109, Picaroon (Redemption)
110, Rack of Redemption (Redemption)
111, Ragatha (Redemption)
112, Redeem the Crucible (Redemption)
113, Research Smoko (Redemption)
114, Ruthless Avenger (Redemption)
115, The Mist (Redemption)
116, Vault’s Blessing (Redemption)
117, Brass Klein (Redemption)
118, Charitable Herald (Redemption)
119, Citizen Shrix (Redemption)
120, Dark Influence (Redemption)
121, Driving Courage (Redemption)
122, Fallen Sovereign (Redemption)
123, Genetic Strain (Redemption)
124, Growland (Redemption)
125, Knockback (Redemption)
126, Oblivion Knight (Redemption)
127, Salvay (Redemption)
128, Vial of Mutation (Redemption)
129, Even Ivan (Redemption)
130, Odd Clawde (Redemption)
131, Begone!
132, Book of Malefaction
133, Charge!
134, Collective Calm
135, Emerald Duelist
136, Harmonic Ritual
137, Luminous Boom
138, Mantle of the Zealot
