Set Number, Card Name
001, Clone Home (Ironyx Rebels)
002, Chuff Ape (Elders)
003, Curse of Disappearances (Elders)
004, Destructive Analysis (Elders)
005, Elite Disruptzord (Elders)
006, Extinction (Elders)
007, Grommid (Elders)
008, Grondal (Elders)
009, Hypnotic Command (Elders)
010, Invasion Portal (Elders)
011, Martian Hounds (Elders)
012, Mass Abduction (Elders)
013, The Body Snatchers (Elders)
014, Total Recall (Elders)
015, Urxym the “Diplomat” (Elders)
016, Yzphyz Knowdrone (Elders)
017, Blypyp (Elders)
018, Crystal Hive (Elders)
019, Deep Probe (Elders)
020, Ether Spider (Elders)
021, Genetic Vault (Elders)
022, Memrox the Red (Elders)
023, Psychic Network (Elders)
024, Space Invaders (Elders)
025, Storm Crawler (Elders)
026, Uxlyx the Zookeeper (Elders)
027, War of the Worlds (Elders)
028, Zorg (Elders)
029, Brash Grabber (Elders)
030, Compliance (Elders)
031, Dr. Xyloxxzlphrex (Elders)
032, Mind Your Elders (Elders)
033, Mindwarper (Elders)
034, Mk.2 Generator (Elders)
035, Pyloyx Strr (Elders)
036, Scoop Up (Elders)
037, Tyyryxn Delv (Elders)
038, Vezyma Thinkdrone (Elders)
039, Xanotys Ploxx (Elders)
040, Xarn Trax (Elders)
041, Researcher (Elders)
042, Æmber Munch (Elders)
043, Aberrant Warp Event (Ironyx Rebels)
044, Big Magnet (Ironyx Rebels)
045, Borka Rikk (Ironyx Rebels)
046, Entropic Manipulator (Ironyx Rebels)
047, Ilxid Avenger (Ironyx Rebels)
048, Incubation Chamber (Ironyx Rebels)
049, Martian Revolution (Ironyx Rebels)
050, Martians Make Bad Allies (Ironyx Rebels)
051, Mating Season (Ironyx Rebels)
052, Nautilixian (Ironyx Rebels)
053, Phylyx the Disintegrator (Ironyx Rebels)
054, R-Evolution (Ironyx Rebels)
055, Revo Hooligans (Ironyx Rebels)
056, Shatter Storm (Ironyx Rebels)
057, Yxlyx Stimrager (Ironyx Rebels)
058, Agent Taengoo (Ironyx Rebels)
059, Destroy Them All! (Ironyx Rebels)
060, Exterminate! Exterminate! (Ironyx Rebels)
061, Ironyx Banner (Ironyx Rebels)
062, Iyxrenu the Clever (Ironyx Rebels)
063, Nyyon Outpost (Ironyx Rebels)
064, Nyzyk Resonator (Ironyx Rebels)
065, Red Planet Ray Gun (Ironyx Rebels)
066, Shark Bait (Ironyx Rebels)
067, Yipyax Abductor (Ironyx Rebels)
068, Yxl the Iron Captain (Ironyx Rebels)
069, Zizok (Ironyx Rebels)
070, Exo Vanguard (Ironyx Rebels)
071, For the Revolution! (Ironyx Rebels)
072, Ironyx Propaganda (Ironyx Rebels)
073, Ironyx Rebel (Ironyx Rebels)
074, Ironyx Vatminder (Ironyx Rebels)
075, Jynnux Boom (Ironyx Rebels)
076, Mars First (Ironyx Rebels)
077, Mk.3 “Rookie” (Ironyx Rebels)
078, Myx, the Tallminded (Ironyx Rebels)
079, Phlox ’em All! (Ironyx Rebels)
080, Ulyq Megamouth (Ironyx Rebels)
081, Zutrinyx, the Innovator (Ironyx Rebels)
082, Green Aeronaut (Ironyx Rebels)
083, Purple Aeronaut (Ironyx Rebels)
084, Red Aeronaut (Ironyx Rebels)
085, White Aeronaut (Ironyx Rebels)
086, Minutemartian (Ironyx Rebels)
087, Rebel (Ironyx Rebels)
